name,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
Luxury Penthouse with Central Park Views,Upper West Side,"$5,500,000",4,4,3000,"This stunning penthouse offers panoramic views of Central Park, a private terrace, and top-of-the-line finishes throughout. The open layout and high ceilings make for a spacious and luxurious living space. The building features a full-time doorman, fitness center, and rooftop garden.","The Upper West Side is known for its tree-lined streets, world-class dining, and cultural institutions like Lincoln Center. Residents enjoy easy access to Central Park and Riverside Park, as well as excellent schools and shopping options."
Historic Brownstone in Brooklyn Heights,Brooklyn Heights,"$3,200,000",5,3,4000,"This historic brownstone boasts original architectural details, including crown molding, marble fireplaces, and stained glass windows. The spacious backyard is perfect for entertaining, and the finished basement offers additional living space. Located in the heart of Brooklyn Heights, this home is steps away from Brooklyn Bridge Park and the Promenade.","Brooklyn Heights is a charming neighborhood known for its historic brownstones, tree-lined streets, and stunning views of the Manhattan skyline. Residents enjoy easy access to the waterfront, as well as excellent schools and dining options."
Modern Condo in Chelsea,Chelsea,"$1,500,000",2,2,1200,"This modern condo features floor-to-ceiling windows, a gourmet kitchen, and a private balcony with city views. The building offers a full-time doorman, fitness center, and rooftop terrace. Located in the heart of Chelsea, this home is surrounded by galleries, restaurants, and boutiques.","Chelsea is a vibrant neighborhood known for its art galleries, high-end boutiques, and trendy restaurants. Residents enjoy easy access to the High Line, Hudson Yards, and Chelsea Market, as well as excellent transportation options."
Charming Townhouse in Greenwich Village,Greenwich Village,"$4,800,000",4,3,3500,"This charming townhouse boasts a private garden, original hardwood floors, and a renovated chef's kitchen. The master suite features a spa-like bathroom and a walk-in closet. Located in the historic Greenwich Village, this home is steps away from Washington Square Park and top-rated restaurants.","Greenwich Village is a historic neighborhood known for its tree-lined streets, historic brownstones, and vibrant arts scene. Residents enjoy easy access to NYU, Union Square, and the West Village, as well as excellent schools and cultural institutions."
Luxury Loft in Tribeca,Tribeca,"$6,000,000",3,3,4000,"This luxury loft features high ceilings, exposed brick walls, and a private terrace. The open layout and oversized windows create a bright and airy living space. The building offers a full-time doorman, fitness center, and private storage. Located in the trendy Tribeca neighborhood, this home is surrounded by world-class dining, shopping, and entertainment options.","Tribeca is a trendy neighborhood known for its cobblestone streets, industrial architecture, and celebrity residents. Residents enjoy easy access to the Hudson River Park, the Oculus, and the annual Tribeca Film Festival, as well as excellent schools and transportation options."
Sleek Condo in Williamsburg,Williamsburg,"$900,000",1,1,800,"This sleek condo features an open layout, high-end appliances, and a private balcony with city views. The building offers a fitness center, rooftop pool, and 24-hour concierge. Located in the hip Williamsburg neighborhood, this home is surrounded by trendy bars, cafes, and boutiques.","Williamsburg is a trendy neighborhood known for its street art, waterfront parks, and vibrant nightlife. Residents enjoy easy access to McCarren Park, the East River Ferry, and the Williamsburg Bridge, as well as excellent transportation options."
Cozy Apartment in the East Village,East Village,"$700,000",1,1,600,"This cozy apartment features hardwood floors, a renovated kitchen, and a spacious living room. The building offers a live-in super and laundry facilities. Located in the eclectic East Village, this home is surrounded by trendy bars, restaurants, and music venues.","The East Village is a vibrant neighborhood known for its diverse community, historic architecture, and thriving arts scene. Residents enjoy easy access to Tompkins Square Park, St. Mark's Place, and Alphabet City, as well as excellent transportation options."
Modern Duplex in Harlem,Harlem,"$1,200,000",3,2,1800,"This modern duplex features an open layout, high ceilings, and a private backyard. The gourmet kitchen is equipped with stainless steel appliances and quartz countertops. Located in the historic neighborhood of Harlem, this home is steps away from Marcus Garvey Park and top-rated restaurants.","Harlem is a historic neighborhood known for its brownstone architecture, jazz clubs, and soul food restaurants. Residents enjoy easy access to the Apollo Theater, the Studio Museum in Harlem, and the Harlem Meer, as well as excellent transportation options."
Luxury Condo in Battery Park City,Battery Park City,"$2,300,000",2,2,1400,"This luxury condo features views of the Hudson River, high-end finishes, and a private terrace. The building offers a full-time doorman, fitness center, and rooftop garden. Located in the peaceful neighborhood of Battery Park City, this home is surrounded by waterfront parks, upscale dining, and shopping options.","Battery Park City is a peaceful neighborhood known for its waterfront parks, public art installations, and stunning views of the Statue of Liberty. Residents enjoy easy access to Brookfield Place, the Irish Hunger Memorial, and the Hudson River Esplanade, as well as excellent schools and transportation options."
Stylish Loft in DUMBO,DUMBO,"$1,800,000",2,2,1600,"This stylish loft features exposed brick walls, high ceilings, and a private balcony with views of the Manhattan skyline. The open layout and oversized windows create a bright and spacious living space. Located in the trendy neighborhood of DUMBO, this home is steps away from Brooklyn Bridge Park and top-rated restaurants.","DUMBO is a trendy neighborhood known for its industrial architecture, cobblestone streets, and waterfront parks. Residents enjoy easy access to the Brooklyn Bridge, Jane's Carousel, and the annual DUMBO Arts Festival, as well as excellent transportation options."
